pl_name,hostname,disc_facility,discoverymethod,disc_year,st_teff,st_met,st_rotp,st_mass,st_rad,sy_pnum,sy_snum,sy_dist,survey
Kepler-102 b,Kepler-102,Kepler,Transit,2014,4909.0,0.11,27.95,0.803,0.724,5,1,107.796,Kepler
Kepler-1446 b,Kepler-1446,Kepler,Transit,2016,4865.0,0.11,,0.81,0.75,1,1,152.075,Kepler
Kepler-1697 b,Kepler-1697,Kepler,Transit,2020,4681.53,0.0341,,0.747,0.772344,1,1,247.771,Kepler
Kepler-1764 b,Kepler-1764,Kepler,Transit,2021,6461.0,-0.14,,1.162,1.131,1,1,1542.48,Kepler
Kepler-674 b,Kepler-674,Kepler,Transit,2016,4192.0,-0.27,,0.6,0.57,1,1,342.254,Kepler
Kepler-1269 b,Kepler-1269,Kepler,Transit,2016,5998.0,0.07,,1.1,1.15,1,1,1097.23,Kepler
Kepler-634 b,Kepler-634,Kepler,Transit,2016,6075.0,-0.18,,1.03,1.24,1,1,888.027,Kepler
Kepler-1576 b,Kepler-1576,Kepler,Transit,2016,5876.0,0.05,,1.05,1.06,1,1,460.91,Kepler
Kepler-681 b,Kepler-681,Kepler,Transit,2016,5021.0,-0.04,,0.8,0.76,1,1,686.923,Kepler
Kepler-1796 b,Kepler-1796,Kepler,Transit,2021,6036.0,-0.16,,1.018,0.949,1,1,825.883,Kepler
Kepler-68 b,Kepler-68,Kepler,Transit,2013,5847.0,0.11,,1.057,1.2564,4,2,144.166,Kepler
Kepler-53 c,Kepler-53,Kepler,Transit,2012,5858.0,0.0,,0.98,0.89,3,1,1366.07,Kepler
Kepler-972 b,Kepler-972,Kepler,Transit,2016,6146.0,0.04,,1.15,1.22,1,1,1198.03,Kepler
Kepler-1508 b,Kepler-1508,Kepler,Transit,2016,6158.0,0.01,,1.14,1.22,1,1,1260.28,Kepler
Kepler-1652 b,Kepler-1652,Kepler,Transit,2017,3638.0,-0.3,31.18,0.404,0.382,1,1,252.0,Kepler
Kepler-352 b,Kepler-352,Kepler,Transit,2014,5212.0,-0.11,,0.798,0.781,3,1,252.733,Kepler
Kepler-293 c,Kepler-293,Kepler,Transit,2014,5804.0,0.1,,0.934,0.957,2,1,974.633,Kepler
Kepler-873 b,Kepler-873,Kepler,Transit,2016,6163.0,0.07,,1.18,1.27,1,1,1182.22,Kepler
Kepler-731 b,Kepler-731,Kepler,Transit,2016,5849.0,0.04,,1.03,1.06,1,1,1257.16,Kepler
Kepler-669 b,Kepler-669,Kepler,Transit,2016,6038.0,0.14,,1.15,1.2,1,1,2063.41,Kepler
Kepler-783 b,Kepler-783,Kepler,Transit,2016,5521.0,0.01,,0.93,0.89,2,1,516.09,Kepler
KOI-7368 b,KOI-7368,Kepler,Transit,2022,5241.0,0.0578,2.606,0.879,0.874,1,1,264.995,Kepler
Kepler-142 d,Kepler-142,Kepler,Transit,2014,5790.0,0.05,,0.978,1.269,3,1,548.686,Kepler
Kepler-1192 b,Kepler-1192,Kepler,Transit,2016,5438.0,-0.16,,0.86,0.83,1,1,1304.19,Kepler
Kepler-214 b,Kepler-214,Kepler,Transit,2014,6169.0,-0.02,,1.11,1.352,2,1,1208.44,Kepler
Kepler-1297 b,Kepler-1297,Kepler,Transit,2016,5818.0,-0.04,,0.99,0.99,1,1,1439.47,Kepler
Kepler-1354 b,Kepler-1354,Kepler,Transit,2016,6168.0,0.03,,1.16,1.24,1,1,1119.45,Kepler
Kepler-319 d,Kepler-319,Kepler,Transit,2014,5526.0,0.06,,0.933,0.903,3,1,503.436,Kepler
Kepler-1427 b,Kepler-1427,Kepler,Transit,2016,5793.0,0.06,,1.01,1.01,1,1,1220.0,Kepler
Kepler-1959 b,Kepler-1959,Kepler,Transit,2021,5071.0,-0.02,,0.768,0.811,1,1,479.263,Kepler
