hostname,st_teff,st_met,st_mass,st_rad,sy_dist,disc_year,discoverymethod,mission,sy_dist_ly,st_mass_kg,st_rad_m,planet_count,metallicity_class,spectral_type,last_updated,st_teff_norm,st_met_norm,st_mass_norm,st_rad_norm,planet_occurrence_class
Kepler-102,4909.0,0.11,0.803,0.724,107.796,2014,Transit,Kepler,351.58312176,1.5967655000000002e+30,503686800.0,5,solar,K,2025-10-29 17:25:48,-0.5018625836161408,0.5595875386170995,-0.5804219985229496,-0.686013701580705,many
Kepler-1446,4865.0,0.11,0.81,0.75,152.075,2016,Transit,Kepler,496.00173699999993,1.610685e+30,521775000.0,1,solar,K,2025-10-29 17:25:48,-0.542001426898894,0.5595875386170995,-0.5514316421418382,-0.6248929287864711,single
Kepler-1697,4681.53,0.0341,0.747,0.772344,247.771,2020,Transit,Kepler,808.1199827599999,1.4854094999999998e+30,537319720.8000001,1,solar,K,2025-10-29 17:25:48,-0.7093712809235926,0.08630464973087017,-0.8123448495718422,-0.5723666769666879,single
Kepler-1764,6461.0,-0.14,1.162,1.131,1542.48,2021,Transit,Kepler,5030.8910688,2.310637e+30,786836700.0,1,sub-solar,F,2025-10-29 17:25:48,0.9139438885391542,-0.9993152574508497,0.9063691358797696,0.270761472544417,single
Kepler-674,4192.0,-0.27,0.6,0.57,342.254,2016,Transit,Kepler,1116.28195624,1.1931000000000001e+30,396549000.0,1,sub-solar,K,2025-10-29 17:25:48,-1.1559432798373692,-1.8099447114061833,-1.4211423335751843,-1.0480367404388593,single
Kepler-1269,5998.0,0.07,1.1,1.15,1097.23,2016,Transit,Kepler,3578.6814788,2.18735e+30,800054999.9999999,1,solar,G,2025-10-29 17:25:48,0.4915737876320011,0.3101630912462277,0.6495974079327825,0.31542665266328,single
Kepler-634,6075.0,-0.18,1.03,1.24,888.027,2016,Transit,Kepler,2896.35334212,2.048155e+30,862668000.0,1,sub-solar,F,2025-10-29 17:25:48,0.5618167633768192,-1.2487397048217215,0.359693844121667,0.5269985584894742,single
Kepler-1576,5876.0,0.05,1.05,1.06,460.91,2016,Transit,Kepler,1503.2856196,2.087925e+30,737442000.0,1,solar,G,2025-10-29 17:25:48,0.38027972216618544,0.18545086756079177,0.4425234337819857,0.10385474683708629,single
Kepler-681,5021.0,-0.04,0.8,0.76,686.923,2016,Transit,Kepler,2240.44057988,1.5908e+30,528732000.0,1,sub-solar,K,2025-10-29 17:25:48,-0.3996909825327689,-0.37575413902366994,-0.5928464369719975,-0.6013849392502273,single
Kepler-1796,6036.0,-0.16,1.018,0.949,825.883,2021,Transit,Kepler,2693.66695748,2.024293e+30,660219300.0,1,sub-solar,F,2025-10-29 17:25:48,0.526239152285288,-1.1240274811362856,0.30999609032547576,-0.15708393701521992,single
Kepler-68,5847.0,0.11,1.057,1.2564,144.166,2013,Transit,Kepler,470.20605896,2.1018445e+30,874077480.0,2,solar,G,2025-10-29 17:25:48,0.35382457545709806,0.5595875386170995,0.4715137901630968,0.565551661328914,few
Kepler-53,5858.0,0.0,0.98,0.89,1366.07,2012,Transit,Kepler,4455.519269199999,1.9487300000000002e+30,619173000.0,3,sub-solar,G,2025-10-29 17:25:48,0.36385928627778635,-0.1263296916527981,0.15261986997087015,-0.2957810752790581,few
Kepler-972,6146.0,0.04,1.15,1.22,1198.03,2016,Transit,Kepler,3907.4467268,2.286775e+30,848754000.0,1,solar,F,2025-10-29 17:25:48,0.626586260492171,0.12309475571807378,0.8566713820835784,0.47998257941698663,single
Kepler-1508,6158.0,0.01,1.14,1.22,1260.28,2016,Transit,Kepler,4110.4788368,2.26689e+30,848754000.0,1,solar,F,2025-10-29 17:25:48,0.6375332177511037,-0.06397357981008012,0.8152565872534191,0.47998257941698663,single
Kepler-1652,3638.0,-0.3,0.404,0.382,252.0,2017,Transit,Kepler,821.9131199999999,8.033540000000001e+29,265757400.0,1,sub-solar,M,2025-10-29 17:25:48,-1.6613278066247616,-1.997013046934337,-2.232872312246307,-1.4899869437202422,single
Kepler-352,5212.0,-0.11,0.798,0.781,252.733,2014,Transit,Kepler,824.30384348,1.5868230000000002e+30,543341700.0,3,sub-solar,G,2025-10-29 17:25:48,-0.22545191282809024,-0.8122469219226957,-0.6011293959380294,-0.5520181612241153,few
Kepler-293,5804.0,0.1,0.934,0.957,974.633,2014,Transit,Kepler,3178.82400748,1.8572589999999998e+30,665784900.0,2,solar,G,2025-10-29 17:25:48,0.31459797861258926,0.4972314267743816,-0.03788818624786246,-0.1382775453862249,few
Kepler-873,6163.0,0.07,1.18,1.27,1182.22,2016,Transit,Kepler,3855.8814632,2.3464300000000002e+30,883539000.0,1,solar,F,2025-10-29 17:25:48,0.6420944499423257,0.3101630912462277,0.9809157665740565,0.5975225270982056,single
Kepler-731,5849.0,0.04,1.03,1.06,1257.16,2016,Transit,Kepler,4100.3027696,2.048155e+30,737442000.0,1,solar,G,2025-10-29 17:25:48,0.35564906833358684,0.12309475571807378,0.359693844121667,0.10385474683708629,single
Kepler-669,6038.0,0.14,1.15,1.2,2063.41,2016,Transit,Kepler,6729.935519599999,2.286775e+30,834840000.0,1,solar,F,2025-10-29 17:25:48,0.5280636451617767,0.7466558741452535,0.8566713820835784,0.432966600344499,single
