hostname,st_teff,st_met,st_mass,st_rad,sy_dist,disc_year,discoverymethod,mission,sy_dist_ly,st_mass_kg,st_rad_m,planet_count,metallicity_class,spectral_type,last_updated
Kepler-102,4909.0,0.11,0.803,0.724,107.796,2014,Transit,Kepler,351.58312176,1.5967655000000002e+30,503686800.0,5,solar,K,2025-10-29 17:25:48
Kepler-1446,4865.0,0.11,0.81,0.75,152.075,2016,Transit,Kepler,496.00173699999993,1.610685e+30,521775000.0,1,solar,K,2025-10-29 17:25:48
Kepler-1697,4681.53,0.0341,0.747,0.772344,247.771,2020,Transit,Kepler,808.1199827599999,1.4854095e+30,537319720.8000001,1,solar,K,2025-10-29 17:25:48
Kepler-1764,6461.0,-0.14,1.162,1.131,1542.48,2021,Transit,Kepler,5030.8910688,2.3106369999999997e+30,786836700.0,1,sub-solar,F,2025-10-29 17:25:48
Kepler-674,4192.0,-0.27,0.6,0.57,342.254,2016,Transit,Kepler,1116.28195624,1.1931e+30,396548999.99999994,1,sub-solar,K,2025-10-29 17:25:48
Kepler-1269,5998.0,0.07,1.1,1.15,1097.23,2016,Transit,Kepler,3578.6814787999997,2.18735e+30,800054999.9999999,1,solar,G,2025-10-29 17:25:48
Kepler-634,6075.0,-0.18,1.03,1.24,888.027,2016,Transit,Kepler,2896.35334212,2.048155e+30,862668000.0,1,sub-solar,F,2025-10-29 17:25:48
Kepler-1576,5876.0,0.05,1.05,1.06,460.91,2016,Transit,Kepler,1503.2856196,2.087925e+30,737442000.0,1,solar,G,2025-10-29 17:25:48
Kepler-681,5021.0,-0.04,0.8,0.76,686.923,2016,Transit,Kepler,2240.44057988,1.5908e+30,528732000.0,1,sub-solar,K,2025-10-29 17:25:48
Kepler-1796,6036.0,-0.16,1.018,0.949,825.883,2021,Transit,Kepler,2693.66695748,2.024293e+30,660219300.0,1,sub-solar,F,2025-10-29 17:25:48
Kepler-68,5847.0,0.11,1.057,1.2564,144.166,2013,Transit,Kepler,470.20605895999995,2.1018445e+30,874077480.0,2,solar,G,2025-10-29 17:25:48
Kepler-53,5858.0,0.0,0.98,0.89,1366.07,2012,Transit,Kepler,4455.519269199999,1.94873e+30,619173000.0,3,sub-solar,G,2025-10-29 17:25:48
Kepler-972,6146.0,0.04,1.15,1.22,1198.03,2016,Transit,Kepler,3907.4467268,2.2867749999999999e+30,848754000.0,1,solar,F,2025-10-29 17:25:48
Kepler-1508,6158.0,0.01,1.14,1.22,1260.28,2016,Transit,Kepler,4110.4788368,2.2668899999999998e+30,848754000.0,1,solar,F,2025-10-29 17:25:48
Kepler-1652,3638.0,-0.3,0.404,0.382,252.0,2017,Transit,Kepler,821.9131199999999,8.033540000000001e+29,265757400.0,1,sub-solar,M,2025-10-29 17:25:48
Kepler-352,5212.0,-0.11,0.798,0.781,252.733,2014,Transit,Kepler,824.30384348,1.5868230000000002e+30,543341700.0,3,sub-solar,G,2025-10-29 17:25:48
Kepler-293,5804.0,0.1,0.934,0.957,974.633,2014,Transit,Kepler,3178.82400748,1.857259e+30,665784900.0,2,solar,G,2025-10-29 17:25:48
Kepler-873,6163.0,0.07,1.18,1.27,1182.22,2016,Transit,Kepler,3855.8814632,2.34643e+30,883539000.0,1,solar,F,2025-10-29 17:25:48
Kepler-731,5849.0,0.04,1.03,1.06,1257.16,2016,Transit,Kepler,4100.3027696,2.048155e+30,737442000.0,1,solar,G,2025-10-29 17:25:48
Kepler-669,6038.0,0.14,1.15,1.2,2063.41,2016,Transit,Kepler,6729.935519599999,2.2867749999999999e+30,834840000.0,1,solar,F,2025-10-29 17:25:48
Kepler-783,5521.0,0.01,0.93,0.89,516.09,2016,Transit,Kepler,1683.2585004,1.8493050000000002e+30,619173000.0,2,solar,G,2025-10-29 17:25:48
KOI-7368,5241.0,0.0578,0.879,0.874,264.995,2022,Transit,Kepler,864.2970922,1.7478915e+30,608041800.0,1,solar,G,2025-10-29 17:25:48
Kepler-142,5790.0,0.05,0.978,1.269,548.686,2014,Transit,Kepler,1789.57231016,1.9447529999999998e+30,882843299.9999999,3,solar,G,2025-10-29 17:25:48
