pl_name,hostname,disc_facility,discoverymethod,disc_year,st_teff,st_met,st_rotp,st_mass,st_rad,sy_pnum,sy_snum,sy_dist,survey
HIP 9618 b,HIP 9618,Transiting Exoplanet Survey Satellite (TESS),Transit,2023,5649.0,-0.018,,0.942,0.9593,2,1,67.5478,TESS
TOI-125 d,TOI-125,Transiting Exoplanet Survey Satellite (TESS),Transit,2020,5320.0,-0.02,,0.859,0.848,3,1,111.059,TESS
TOI-2088 b,TOI-2088,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,5081.0,0.339,,0.9027,0.8481,1,1,126.46,TESS
GJ 238 b,GJ 238,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,3485.0,0.15,44.0,0.4193,0.4314,1,1,15.2142,TESS
TOI-7041 b,TOI-7041,Transiting Exoplanet Survey Satellite (TESS),Transit,2025,4700.0,0.25,,1.07,4.1,1,1,439.52,TESS
TOI-5126 c,TOI-5126,Transiting Exoplanet Survey Satellite (TESS),Transit,2023,6150.0,0.18,,1.24,1.241,2,1,160.414,TESS
TOI-406 c,TOI-406,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,3392.0,-0.02,29.2,0.408,0.41,2,1,31.0597,TESS
TOI-277 b,TOI-277,Transiting Exoplanet Survey Satellite (TESS),Transit,2022,4031.0,-0.01,,0.16,0.362,1,1,64.6692,TESS
TOI-2025 b,TOI-2025,Transiting Exoplanet Survey Satellite (TESS),Transit,2022,5977.0,0.15,13.2,1.199,1.459,1,1,335.985,TESS
TOI-1716.01,TOI-1716,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,5879.0,0.096,,1.07,1.24,1,1,104.158,TESS
TOI-2443 b,TOI-2443,Transiting Exoplanet Survey Satellite (TESS),Transit,2023,4375.0,-0.29,,0.642,0.631,1,1,23.9258,TESS
TOI-2384 b,TOI-2384,Transiting Exoplanet Survey Satellite (TESS),Transit,2024,3943.0,0.332,,0.635,0.6113,1,1,191.51,TESS
